Bin Range,Count
-0.263 to -0.250,7
-0.250 to -0.238,13
-0.238 to -0.225,33
-0.225 to -0.213,90
-0.213 to -0.200,207
-0.200 to -0.187,509
-0.187 to -0.175,1136
-0.175 to -0.162,2429
-0.162 to -0.149,4845
-0.149 to -0.137,9385
-0.137 to -0.124,17467
-0.124 to -0.112,30923
-0.112 to -0.099,52161
-0.099 to -0.086,85386
-0.086 to -0.074,132376
-0.074 to -0.061,196796
-0.061 to -0.048,282408
-0.048 to -0.036,390113
-0.036 to -0.023,517833
-0.023 to -0.010,662440
-0.010 to 0.002,818607
0.002 to 0.015,978894
0.015 to 0.027,1129780
0.027 to 0.040,1262583
0.040 to 0.053,1367125
0.053 to 0.065,1438042
0.065 to 0.078,1469531
0.078 to 0.091,1461741
0.091 to 0.103,1416365
0.103 to 0.116,1339076
0.116 to 0.128,1234054
0.128 to 0.141,1113725
0.141 to 0.154,987323
0.154 to 0.166,856391
0.166 to 0.179,731327
0.179 to 0.192,615700
0.192 to 0.204,511183
0.204 to 0.217,418266
0.217 to 0.230,340525
0.230 to 0.242,273907
0.242 to 0.255,217494
0.255 to 0.267,173658
0.267 to 0.280,136154
0.280 to 0.293,107533
0.293 to 0.305,84133
0.305 to 0.318,65770
0.318 to 0.331,51327
0.331 to 0.343,39975
0.343 to 0.356,31252
0.356 to 0.368,24407
0.368 to 0.381,18906
0.381 to 0.394,14892
0.394 to 0.406,11536
0.406 to 0.419,9051
0.419 to 0.432,7065
0.432 to 0.444,5578
0.444 to 0.457,4415
0.457 to 0.469,3460
0.469 to 0.482,2710
0.482 to 0.495,2190
0.495 to 0.507,1770
0.507 to 0.520,1394
0.520 to 0.533,1111
0.533 to 0.545,896
0.545 to 0.558,671
0.558 to 0.571,523
0.571 to 0.583,442
0.583 to 0.596,363
0.596 to 0.608,276
0.608 to 0.621,217
0.621 to 0.634,204
0.634 to 0.646,159
0.646 to 0.659,121
0.659 to 0.672,105
0.672 to 0.684,99
0.684 to 0.697,66
0.697 to 0.709,70
0.709 to 0.722,46
0.722 to 0.735,44
0.735 to 0.747,39
0.747 to 0.760,25
0.760 to 0.773,23
0.773 to 0.785,19
0.785 to 0.798,11
0.798 to 0.811,10
0.811 to 0.823,13
0.823 to 0.836,4
0.836 to 0.848,7
0.848 to 0.861,6
0.861 to 0.874,4
0.874 to 0.886,2
0.886 to 0.899,3
0.899 to 0.912,0
0.912 to 0.924,0
0.924 to 0.937,1
0.937 to 0.949,0
0.949 to 0.962,0
0.962 to 0.975,0
0.975 to 0.987,0
0.987 to 1.000,48
