queryDef,predChildDef,predParentDef,predChildPPRDef,predParentPPRDef,numCloseNeighbors,queryLevel,queryHeight,isCorrectParentAt1,isCorrectChildAt1,isCorrectParentPPRAt1,isCorrectChildPPRAt1,isCorrectParentAt10,isCorrectChildAt10,isCorrectParentPPRAt10,isCorrectChildPPRAt10,cos_sim_query_pred_child,cos_sim_query_pred_parent,cos_sim_query_pred_child_ppr,cos_sim_query_pred_parent_ppr,graph_dist_query_pred_child,graph_dist_query_pred_parent,graph_dist_query_pred_child_ppr,graph_dist_query_pred_parent_ppr,relation_query_pred_parent,relation_query_pred_child,relation_query_pred_parent_ppr,relation_query_pred_child_ppr,true_parent_def,true_child_def
"{'label': 'neuroinformatics', 'summary': 'neuroinformatics is the field that combines informatics and neuroscience neuroinformatics is related with neuroscience data and information processing by artificial neural networks there are three main directions where neuroinformatics has to be applied the development of computational models of the nervous system and neural processes the development of tools for analyzing and modeling neuroscience data the development of tools and databases for management and sharing of neuroscience data at all levels of analysis neuroinformatics is related with philosophy computational theory of mind psychology information processing theory computer science natural computing bio inspired computing among others'}","N/A","{'label': 'wechsler bellevue scale', 'summary': 'the wechsler adult intelligence scale wais is an iq test designed to measure intelligence and cognitive ability in adults and older adolescents the original wais form i was published in february 1955 by david wechsler as a revision of the wechsler–bellevue intelligence scale released in 1939 it is currently in its fourth edition wais iv released in 2008 by pearson and is the most widely used iq test for both adults and older adolescents in the world data collection for the next version wais 5 began in 2016 and is expected to end in spring 2020'}","N/A","{'label': 'rating scale', 'summary': 'concerning rating scales as systems of educational marks see articles about education in different countries named education in for example education in ukraine concerning rating scales used in the practice of medicine see articles about diagnoses for example major depressive disorder a rating scale is a set of categories designed to elicit information about a quantitative or a qualitative attribute in the social sciences particularly psychology common examples are the likert response scale and 1 10 rating scales in which a person selects the number which is considered to reflect the perceived quality of a product background a rating scale is a method that requires the rater to assign a value sometimes numeric to the rated object as a measure of some rated attribute types of rating scales all rating scales can be classified into one of these types numeric rating scale nrs verbal rating scale vrs visual analogue scale vas likert graphic rating scale descriptive graphic rating scalesome data are measured at the ordinal level'}",2328,2,0,False,True,False,True,True,True,False,True,N/A,0.6512640714645386,N/A,0.6170163750648499,N/A,-3,N/A,-3,distant,pseudo_leaf,distant,pseudo_leaf,"{'label': 'psychology', 'summary': 'psychology is the science of mind and behavior psychology includes the study of conscious and unconscious phenomena including feelings and thoughts it is an academic discipline of immense scope crossing the boundaries between the natural and social sciences psychologists seek an understanding of the emergent properties of brains linking the discipline to neuroscience'}","N/A"
"{'label': 'lie detection', 'summary': 'lie detection is an assessment of a verbal statement with the goal to reveal a possible intentional deceit lie detection may refer to a cognitive process of detecting deception by evaluating message content as well as non verbal cues it also may refer to questioning techniques used along with technology that record physiological functions to ascertain truth and falsehood in response the latter is commonly used by law enforcement in the united states but rarely in other countries because it is based on pseudoscience'}","N/A","{'label': 'organizational engineering', 'summary': 'organizational engineering oe is a form of organizational development it was created by gary salton of professional communications inc it has been developing continuously since 1994 on both theoretical and applied levels the core premise of oe is that humans are information processing organisms'}","N/A","{'label': 'organizational behavior and human resources', 'summary': 'organizational behavior and human resources obhr is a field of study housed in most business schools that has evolved from the overlap in offerings and objectives from courses taught in organizational behavior and human resource management organizational behavior studies human behavior in social settings with an emphasis on explaining predicting and understanding behavior in organizations empirical generalizations and theories emanating from the cognitive and reinforcement paradigms and models of social influence are examined as the basis for analysis and understanding of topics such as motivation leadership behavior task performance problem solving and decision making group functioning and other classes of behavior relevant to organizational effectiveness human resource management emphasizes human resource systems design and implementation of various personnel tests collection and validation of employee demographic data job classification techniques examination of psychometric requirements in compensation programming training impact analysis and issues in performance appraisal systems the society for human resource management reports that there are at least 190 obhr graduate programs worldwide including both masters and doctoral programs'}",6,4,1,False,False,False,False,False,True,True,True,N/A,0.8796653151512146,N/A,0.7544848918914795,N/A,-5,N/A,-4,distant,pseudo_leaf,distant,pseudo_leaf,"{'label': 'organizational commitment', 'summary': 'in organizational behavior and industrial and organizational psychology organizational commitment is an individual s psychological attachment to the organization organizational scientists have also developed many nuanced definitions of organizational commitment and numerous scales to measure them exemplary of this work is meyer and allen s model of commitment which was developed to integrate numerous definitions of commitment that had been proliferated in the literature meyer and allen s model has also been critiqued because the model is not consistent with empirical findings'}","{'label': 'organizational engineering', 'summary': 'organizational engineering oe is a form of organizational development it was created by gary salton of professional communications inc it has been developing continuously since 1994 on both theoretical and applied levels the core premise of oe is that humans are information processing organisms'}"
"{'label': 'brain fingerprinting', 'summary': 'brain fingerprinting is a lie detection technique which uses electroencephalography eeg to determine whether specific information is stored in a subject s brain the technique consists of measuring and recording a person s electrical brainwaves and brain response when asked questions about a crime attempting to elicit a p300 response that indicates familiarity with the details of the crime the technique is controversial unproven and of questionable accuracy comparison of brain fingerprinting with polygraphy showed mixed results consistent with a mix of proven techniques and dangerously exaggerated benefits'}","N/A","{'label': 'reward dependence', 'summary': 'reward dependence is characterized as a tendency to respond markedly to signals of reward particularly to verbal signals of social approval social support and sentiment when reward dependence levels deviate from normal we see the rise of several personality and addictive disorders in psychology reward dependence is considered a moderately heritable personality trait which is stable throughout our lives it is an inherited neurophysiological mechanism that drives our perception of our society and the environment'}","N/A","{'label': 'addiction', 'summary': 'addiction is a biopsychosocial disorder characterized by compulsive engagement in rewarding stimuli despite adverse consequences despite the involvement of a number of psychosocial factors a biological process—one that is induced by repeated exposure to an addictive stimulus—is the core pathology that drives the development and maintenance of an addiction according to the brain disease model of addiction however some scholars who study addiction argue that the brain disease model is incomplete and misleading the brain disease model posits that addiction is a disorder of the brain s reward system which arises through transcriptional and epigenetic mechanisms and develops over time from chronically high levels of exposure to an addictive stimulus e g eating food the use of cocaine engagement in sexual activity participation in high thrill cultural activities such as gambling etc deltafosb δfosb a gene transcription factor is a critical component and common factor in the development of virtually all forms of behavioral and drug addictions'}",4,5,0,False,True,True,True,True,True,True,True,N/A,0.7725030183792114,N/A,0.666224479675293,N/A,-6,N/A,-6,distant,pseudo_leaf,distant,pseudo_leaf,"{'label': 'addiction', 'summary': 'addiction is a biopsychosocial disorder characterized by compulsive engagement in rewarding stimuli despite adverse consequences despite the involvement of a number of psychosocial factors a biological process—one that is induced by repeated exposure to an addictive stimulus—is the core pathology that drives the development and maintenance of an addiction according to the brain disease model of addiction however some scholars who study addiction argue that the brain disease model is incomplete and misleading the brain disease model posits that addiction is a disorder of the brain s reward system which arises through transcriptional and epigenetic mechanisms and develops over time from chronically high levels of exposure to an addictive stimulus e g eating food the use of cocaine engagement in sexual activity participation in high thrill cultural activities such as gambling etc deltafosb δfosb a gene transcription factor is a critical component and common factor in the development of virtually all forms of behavioral and drug addictions'}","N/A"
"{'label': 'pervasive developmental disorder', 'summary': 'the diagnostic category pervasive developmental disorders pdd as opposed to specific developmental disorders sdd is a group of disorders characterized by delays in the development of multiple basic functions including socialization and communication the pervasive developmental disorders include autism asperger syndrome pervasive developmental disorder not otherwise specified pdd nos i e all autism spectrum disorders asd childhood disintegrative disorder cdd overactive disorder associated with mental retardation and stereotyped movements and rett syndrome the first four of these disorders are commonly called the autism spectrum disorders the last disorder is much rarer and is sometimes placed in the autism spectrum and sometimes not the terminology pdd and asd is often used interchangeably and varies depending on location the two have overlapping definitions but are defined differently by the diagnostic and statistical manual of mental disorders 5th edition dsm 5 and the international classification of diseases 10th edition icd 10'}","N/A","{'label': 'peripheral giant cell granuloma', 'summary': 'peripheral giant cell granuloma pgcg is an oral pathologic condition that appears in the mouth as an overgrowth of tissue due to irritation or trauma because of its overwhelming incidence on the gingiva the condition is associated with two other diseases pyogenic granuloma and peripheral ossifying fibroma these three diseases are associated because they appear frequently on gingiva due to its similar microscopic appearance peripheral giant cell granuloma is considered to be the soft tissue equivalent of central giant cell granuloma'}","N/A","{'label': 'pyogenic granuloma', 'summary': 'a pyogenic granuloma or lobular capillary hemangioma is a vascular tumor that occurs on both mucosa and skin and appears as an overgrowth of tissue due to irritation physical trauma or hormonal factors it is often found to involve the gums skin or nasal septum and has also been found far from the head such as in the thigh pyogenic granulomas may be seen at any age and are more common in females than males in pregnant women lesions may occur in the first trimester with an increasing incidence until the seventh month and are often seen on the gums signs and symptoms the appearance of pyogenic granuloma is usually a color ranging from red pink to purple grows rapidly and can be smooth or mushroom shaped'}",43,4,1,False,True,True,True,True,True,True,True,N/A,0.7016675472259521,N/A,0.5127960443496704,N/A,-6,N/A,-5,distant,pseudo_leaf,distant,pseudo_leaf,"{'label': 'pyogenic granuloma', 'summary': 'a pyogenic granuloma or lobular capillary hemangioma is a vascular tumor that occurs on both mucosa and skin and appears as an overgrowth of tissue due to irritation physical trauma or hormonal factors it is often found to involve the gums skin or nasal septum and has also been found far from the head such as in the thigh pyogenic granulomas may be seen at any age and are more common in females than males in pregnant women lesions may occur in the first trimester with an increasing incidence until the seventh month and are often seen on the gums signs and symptoms the appearance of pyogenic granuloma is usually a color ranging from red pink to purple grows rapidly and can be smooth or mushroom shaped'}","N/A"
"{'label': 'pervasive developmental disorder not otherwise specified', 'summary': 'a pervasive developmental disorder not otherwise specified including atypical autism pdd nos is one of the four autistic disorders ad in the dsm 5 and also was one of the five disorders classified as a pervasive developmental disorder pdd in the dsm iv according to the dsm 4 pdd nos is a diagnosis that is used for severe or pervasive impairment in the development of reciprocal social interaction and or verbal and nonverbal communication skills or when stereotyped behavior interests and or activities are present but the criteria are not met for a specific pdd or for several other disorders pdd nos includes atypical autism because the criteria for autistic disorder are not met for instance because of late age of onset atypical symptomatology or subthreshold symptomatology or all of these even though pdd nos is considered milder than typical autism this is not always true while some characteristics may be milder others may be more severe'}","N/A","{'label': 'adolescent psychopathology', 'summary': 'child psychopathology refers to the scientific study of mental disorders in children and adolescents oppositional defiant disorder attention deficit hyperactivity disorder and autism spectrum disorder are examples of psychopathology that are typically first diagnosed during childhood mental health providers who work with children and adolescents are informed by research in developmental psychology clinical child psychology and family systems lists of child and adult mental disorders can be found in the international statistical classification of diseases and related health problems 10th edition icd 10 published by the world health organization who and in the diagnostic and statistical manual of mental disorders fifth edition dsm 5 published by the american psychiatric association apa'}","N/A","{'label': 'adolescent psychopathology', 'summary': 'child psychopathology refers to the scientific study of mental disorders in children and adolescents oppositional defiant disorder attention deficit hyperactivity disorder and autism spectrum disorder are examples of psychopathology that are typically first diagnosed during childhood mental health providers who work with children and adolescents are informed by research in developmental psychology clinical child psychology and family systems lists of child and adult mental disorders can be found in the international statistical classification of diseases and related health problems 10th edition icd 10 published by the world health organization who and in the diagnostic and statistical manual of mental disorders fifth edition dsm 5 published by the american psychiatric association apa'}",6,5,0,False,True,False,True,True,True,True,True,N/A,1.0,N/A,1.0,N/A,-7,N/A,-7,distant,pseudo_leaf,distant,pseudo_leaf,"{'label': 'psychopathology', 'summary': 'psychopathology is the study of abnormal cognition behaviour and experiences which differs according to social norms and rests upon a number of constructs that are deemed to be the social norm at any particular era biological psychopathology is the study of the biological etiology of abnormal cognitions behaviour and experiences child psychopathology is a specialisation applied to children and adolescents animal psychopathology is a specialisation applied to non human animals'}","N/A"
"{'label': 'multiple complex developmental disorder', 'summary': 'multiple complex developmental disorder mcdd is a research category proposed to involve several neurological and psychological symptoms where at least some symptoms are first noticed during early childhood and persist throughout life it was originally suggested to be a subtype of autistic spectrum disorders pdd with co morbid schizophrenia or another psychotic disorder however there is some controversy that not everyone with mcdd meets criteria for both pdd and psychosis the term multiplex developmental disorder was coined by donald j cohen in 1986 diagnostic criteria the current diagnostic criteria for mcdd are a matter of debate due to it not being in the dsm v or icd 10'}","N/A","{'label': 'olfactory tubercle', 'summary': 'the olfactory tubercle ot also known as the tuberculum olfactorium is a multi sensory processing center that is contained within the olfactory cortex and ventral striatum and plays a role in reward cognition the ot has also been shown to play a role in locomotor and attentional behaviors particularly in relation to social and sensory responsiveness and it may be necessary for behavioral flexibility the ot is interconnected with numerous brain regions especially the sensory arousal and reward centers thus making it a potentially critical interface between processing of sensory information and the subsequent behavioral responses the ot is a composite structure that receives direct input from the olfactory bulb and contains the morphological and histochemical characteristics of the ventral pallidum and the striatum of the forebrain the dopaminergic neurons of the mesolimbic pathway project onto the gabaergic medium spiny neurons of the nucleus accumbens and olfactory tubercle receptor d3 is abundant in these two areas'}","N/A","{'label': 'striatum', 'summary': 'the striatum or corpus striatum also called the striate nucleus is a nucleus a cluster of neurons in the subcortical basal ganglia of the forebrain the striatum is a critical component of the motor and reward systems receives glutamatergic and gabaergic inputs from different sources and serves as the primary input to the rest of the basal ganglia functionally the striatum coordinates multiple aspects of cognition including both motor and action planning decision making motivation reinforcement and reward perception the striatum is made up of the caudate nucleus and the lentiform nucleus'}",6,5,0,True,True,False,True,True,True,True,True,N/A,0.6414238214492798,N/A,0.6127385497093201,N/A,-7,N/A,-6,distant,pseudo_leaf,distant,pseudo_leaf,"{'label': 'olfactory tubercle', 'summary': 'the olfactory tubercle ot also known as the tuberculum olfactorium is a multi sensory processing center that is contained within the olfactory cortex and ventral striatum and plays a role in reward cognition the ot has also been shown to play a role in locomotor and attentional behaviors particularly in relation to social and sensory responsiveness and it may be necessary for behavioral flexibility the ot is interconnected with numerous brain regions especially the sensory arousal and reward centers thus making it a potentially critical interface between processing of sensory information and the subsequent behavioral responses the ot is a composite structure that receives direct input from the olfactory bulb and contains the morphological and histochemical characteristics of the ventral pallidum and the striatum of the forebrain the dopaminergic neurons of the mesolimbic pathway project onto the gabaergic medium spiny neurons of the nucleus accumbens and olfactory tubercle receptor d3 is abundant in these two areas'}","N/A"
"{'label': 'childhood disintegrative disorder', 'summary': 'childhood disintegrative disorder cdd also known as heller s syndrome and disintegrative psychosis is a rare condition characterized by late onset of developmental delays—or severe and sudden reversals—in language social function and motor skills researchers have not been successful in finding a cause for the disorder cdd has some similarity to autism and is sometimes considered a low functioning form of it in may 2013 cdd along with other sub types of pdd asperger s syndrome autism and pdd nos was fused into a single diagnostic term called autism spectrum disorder under the new dsm 5 manual cdd was originally described by austrian educator theodor heller 1869–1938 in 1908 35 years before leo kanner and hans asperger described autism'}","N/A","{'label': 'transactional memory', 'summary': 'in computer science and engineering transactional memory attempts to simplify concurrent programming by allowing a group of load and store instructions to execute in an atomic way it is a concurrency control mechanism analogous to database transactions for controlling access to shared memory in concurrent computing transactional memory systems provide high level abstraction as an alternative to low level thread synchronization this abstraction allows for coordination between concurrent reads and writes of shared data in parallel systems'}","N/A","{'label': 'transactional memory', 'summary': 'in computer science and engineering transactional memory attempts to simplify concurrent programming by allowing a group of load and store instructions to execute in an atomic way it is a concurrency control mechanism analogous to database transactions for controlling access to shared memory in concurrent computing transactional memory systems provide high level abstraction as an alternative to low level thread synchronization this abstraction allows for coordination between concurrent reads and writes of shared data in parallel systems'}",6,5,0,True,True,True,True,True,True,True,True,N/A,0.7146050930023193,N/A,0.7146050930023193,N/A,-7,N/A,-7,distant,pseudo_leaf,distant,pseudo_leaf,"{'label': 'transactional memory', 'summary': 'in computer science and engineering transactional memory attempts to simplify concurrent programming by allowing a group of load and store instructions to execute in an atomic way it is a concurrency control mechanism analogous to database transactions for controlling access to shared memory in concurrent computing transactional memory systems provide high level abstraction as an alternative to low level thread synchronization this abstraction allows for coordination between concurrent reads and writes of shared data in parallel systems'}","N/A"
"{'label': 'motor skill', 'summary': 'a motor skill is a learned ability to cause a predetermined movement outcome with maximum certainty motor learning is the relatively permanent change in the ability to perform a skill as a result of practice or experience performance is an act of executing a motor skill the goal of motor skill is to optimize the ability to perform the skill at the rate of success precision and to reduce the energy consumption required for performance'}","N/A","{'label': 'epileptic seizure', 'summary': 'an epileptic seizure formally known as a seizure is a period of symptoms due to abnormally excessive or synchronous neuronal activity in the brain outward effects vary from uncontrolled shaking movements involving much of the body with loss of consciousness tonic clonic seizure to shaking movements involving only part of the body with variable levels of consciousness focal seizure to a subtle momentary loss of awareness absence seizure most of the time these episodes last less than two minutes and it takes some time to return to normal loss of bladder control may occur seizures may be provoked and unprovoked'}","N/A","{'label': 'epileptic seizure', 'summary': 'an epileptic seizure formally known as a seizure is a period of symptoms due to abnormally excessive or synchronous neuronal activity in the brain outward effects vary from uncontrolled shaking movements involving much of the body with loss of consciousness tonic clonic seizure to shaking movements involving only part of the body with variable levels of consciousness focal seizure to a subtle momentary loss of awareness absence seizure most of the time these episodes last less than two minutes and it takes some time to return to normal loss of bladder control may occur seizures may be provoked and unprovoked'}",350,3,1,False,True,False,True,True,True,True,True,N/A,0.9247320890426636,N/A,0.9247320890426636,N/A,-4,N/A,-4,distant,pseudo_leaf,distant,pseudo_leaf,"{'label': 'electroencephalography', 'summary': 'electroencephalography eeg is an electrophysiological monitoring method to record electrical activity on the scalp that has been shown to represent the macroscopic activity of the surface layer of the brain underneath it is typically non invasive with the electrodes placed along the scalp electrocorticography involving invasive electrodes is sometimes called intracranial eeg eeg measures voltage fluctuations resulting from ionic current within the neurons of the brain clinically eeg refers to the recording of the brain s spontaneous electrical activity over a period of time as recorded from multiple electrodes placed on the scalp'}","N/A"
"{'label': 'challenge point framework', 'summary': 'the challenge point framework created by mark a guadagnoli and timothy d lee 2004 provides a theoretical basis to conceptualize the effects of various practice conditions in motor learning this framework relates practice variables to the skill level of the individual task difficulty and information theory concepts the fundamental idea is that “motor tasks represent different challenges for performers of different abilities guadagnoli and lee 2004 p212 any task will present the individual with a certain degree of challenge'}","N/A","{'label': 'delusion', 'summary': 'a delusion is a fixed belief that is not amenable to change in light of conflicting evidence as a pathology it is distinct from a belief based on false or incomplete information confabulation dogma illusion or some other misleading effects of perception as individuals with those beliefs are able to change or readjust their beliefs upon reviewing the evidence delusions have been found to occur in the context of many pathological states both general physical and mental and are of particular diagnostic importance in psychotic disorders including schizophrenia paraphrenia manic episodes of bipolar disorder and psychotic depression types delusions are categorized into four different groups bizarre delusion delusions are deemed bizarre if they are clearly implausible and not understandable to same culture peers and do not derive from ordinary life experiences'}","N/A","{'label': 'capgras delusion', 'summary': 'capgras delusion is a psychiatric disorder in which a person holds a delusion that a friend spouse parent or other close family member or pet has been replaced by an identical impostor it is named after joseph capgras 1873–1950 a french psychiatrist the capgras delusion is classified as a delusional misidentification syndrome a class of delusional beliefs that involves the misidentification of people places or objects it can occur in acute transient or chronic forms'}",5,4,0,False,True,False,True,True,True,True,True,N/A,0.7569416761398315,N/A,0.7063518166542053,N/A,-4,N/A,-5,distant,pseudo_leaf,distant,pseudo_leaf,"{'label': 'psychology', 'summary': 'psychology is the science of mind and behavior psychology includes the study of conscious and unconscious phenomena including feelings and thoughts it is an academic discipline of immense scope crossing the boundaries between the natural and social sciences psychologists seek an understanding of the emergent properties of brains linking the discipline to neuroscience'}","N/A"
"{'label': 'fine motor skill', 'summary': 'fine motor skill or dexterity is the coordination of small muscles in movement with the eyes usually involving the synchronisation of hands and fingers the complex levels of manual dexterity that humans exhibit can be attributed to and demonstrated in tasks controlled by the nervous system fine motor skills aid in the growth of intelligence and develop continuously throughout the stages of human development types of motor skills motor skills are movements and actions of the bone structures'}","N/A","{'label': 'cooperative learning', 'summary': 'cooperative learning is an educational approach which aims to organize classroom activities into academic and social learning experiences there is much more to cooperative learning than merely arranging students into groups and it has been described as structuring positive interdependence students must work in groups to complete tasks collectively toward academic goals unlike individual learning which can be competitive in nature students learning cooperatively can capitalize on one another s resources and skills asking one another for information evaluating one another s ideas monitoring one another s work etc furthermore the teacher s role changes from giving information to facilitating students learning'}","N/A","{'label': 'learning environment', 'summary': 'the term learning environment can refer to an educational approach cultural context or physical setting in which teaching and learning occur the term is commonly used as a more definitive alternative to classroom but it typically refers to the context of educational philosophy or knowledge experienced by the student and may also encompass a variety of learning cultures—its presiding ethos and characteristics how individuals interact governing structures and philosophy in a societal sense learning environment may refer to the culture of the population it serves and of their location learning environments are highly diverse in use learning styles organization and educational institution'}",5,4,0,False,True,False,True,True,True,True,True,N/A,0.8814433813095093,N/A,0.8440613150596619,N/A,-4,N/A,-4,distant,pseudo_leaf,distant,pseudo_leaf,"{'label': 'psychology', 'summary': 'psychology is the science of mind and behavior psychology includes the study of conscious and unconscious phenomena including feelings and thoughts it is an academic discipline of immense scope crossing the boundaries between the natural and social sciences psychologists seek an understanding of the emergent properties of brains linking the discipline to neuroscience'}","N/A"
