queryDef,predChildDef,predParentDef,predChildPPRDef,predParentPPRDef,numCloseNeighbors,queryLevel,queryHeight,isCorrectParentAt1,isCorrectChildAt1,isCorrectParentPPRAt1,isCorrectChildPPRAt1,isCorrectParentAt10,isCorrectChildAt10,isCorrectParentPPRAt10,isCorrectChildPPRAt10,cos_sim_query_pred_child,cos_sim_query_pred_parent,cos_sim_query_pred_child_ppr,cos_sim_query_pred_parent_ppr,graph_dist_query_pred_child,graph_dist_query_pred_parent,graph_dist_query_pred_child_ppr,graph_dist_query_pred_parent_ppr,relation_query_pred_parent,relation_query_pred_child,relation_query_pred_parent_ppr,relation_query_pred_child_ppr,true_parent_def,true_child_def
"{'label': 'neuroinformatics', 'summary': 'neuroinformatics is the field that combines informatics and neuroscience neuroinformatics is related with neuroscience data and information processing by artificial neural networks there are three main directions where neuroinformatics has to be applied the development of computational models of the nervous system and neural processes the development of tools for analyzing and modeling neuroscience data the development of tools and databases for management and sharing of neuroscience data at all levels of analysis neuroinformatics is related with philosophy computational theory of mind psychology information processing theory computer science natural computing bio inspired computing among others'}","N/A","{'label': 'geriatric depression scale', 'summary': 'the geriatric depression scale gds is a 30 item self report assessment used to identify depression in the elderly the scale was first developed in 1982 by j a yesavage and others description in the geriatric depression scale questions are answered yes or no a five category response set is not utilized in order to ensure that the scale is simple enough to be used when testing ill or moderately cognitively impaired individuals for whom a more complex set of answers may be confusing or lead to inaccurate recording of responses the gds is commonly used as a routine part of a comprehensive geriatric assessment'}","N/A","{'label': 'rating scale', 'summary': 'concerning rating scales as systems of educational marks see articles about education in different countries named education in for example education in ukraine concerning rating scales used in the practice of medicine see articles about diagnoses for example major depressive disorder a rating scale is a set of categories designed to elicit information about a quantitative or a qualitative attribute in the social sciences particularly psychology common examples are the likert response scale and 1 10 rating scales in which a person selects the number which is considered to reflect the perceived quality of a product background a rating scale is a method that requires the rater to assign a value sometimes numeric to the rated object as a measure of some rated attribute types of rating scales all rating scales can be classified into one of these types numeric rating scale nrs verbal rating scale vrs visual analogue scale vas likert graphic rating scale descriptive graphic rating scalesome data are measured at the ordinal level'}",2328,2,0,False,True,False,True,False,True,False,True,N/A,0.5720786452293396,N/A,0.42701512575149536,N/A,-2,N/A,-3,sibling,pseudo_leaf,distant,pseudo_leaf,"{'label': 'psychology', 'summary': 'psychology is the science of mind and behavior psychology includes the study of conscious and unconscious phenomena including feelings and thoughts it is an academic discipline of immense scope crossing the boundaries between the natural and social sciences psychologists seek an understanding of the emergent properties of brains linking the discipline to neuroscience'}","N/A"
"{'label': 'lie detection', 'summary': 'lie detection is an assessment of a verbal statement with the goal to reveal a possible intentional deceit lie detection may refer to a cognitive process of detecting deception by evaluating message content as well as non verbal cues it also may refer to questioning techniques used along with technology that record physiological functions to ascertain truth and falsehood in response the latter is commonly used by law enforcement in the united states but rarely in other countries because it is based on pseudoscience'}","N/A","{'label': 'organizational behavior', 'summary': 'organizational behavior ob or organisational behaviour is the study of human behavior in organizational settings the interface between human behavior and the organization and the organization itself ob research can be categorized in at least three ways individuals in organizations micro level work groups meso level how organizations behave macro level overview chester barnard recognized that individuals behave differently when acting in their organizational role than when acting separately from the organization organizational behavior researchers study the behavior of individuals primarily in their organizational roles one of the main goals of organizational behavior is to revitalize organizational theory and develop a better conceptualization of organizational life'}","N/A","{'label': 'organizational behavior and human resources', 'summary': 'organizational behavior and human resources obhr is a field of study housed in most business schools that has evolved from the overlap in offerings and objectives from courses taught in organizational behavior and human resource management organizational behavior studies human behavior in social settings with an emphasis on explaining predicting and understanding behavior in organizations empirical generalizations and theories emanating from the cognitive and reinforcement paradigms and models of social influence are examined as the basis for analysis and understanding of topics such as motivation leadership behavior task performance problem solving and decision making group functioning and other classes of behavior relevant to organizational effectiveness human resource management emphasizes human resource systems design and implementation of various personnel tests collection and validation of employee demographic data job classification techniques examination of psychometric requirements in compensation programming training impact analysis and issues in performance appraisal systems the society for human resource management reports that there are at least 190 obhr graduate programs worldwide including both masters and doctoral programs'}",6,4,1,False,False,False,False,True,False,True,True,N/A,0.6306673884391785,N/A,0.4638183116912842,N/A,-3,N/A,-4,distant,pseudo_leaf,distant,pseudo_leaf,"{'label': 'organizational commitment', 'summary': 'in organizational behavior and industrial and organizational psychology organizational commitment is an individual s psychological attachment to the organization organizational scientists have also developed many nuanced definitions of organizational commitment and numerous scales to measure them exemplary of this work is meyer and allen s model of commitment which was developed to integrate numerous definitions of commitment that had been proliferated in the literature meyer and allen s model has also been critiqued because the model is not consistent with empirical findings'}","{'label': 'organizational engineering', 'summary': 'organizational engineering oe is a form of organizational development it was created by gary salton of professional communications inc it has been developing continuously since 1994 on both theoretical and applied levels the core premise of oe is that humans are information processing organisms'}"
"{'label': 'brain fingerprinting', 'summary': 'brain fingerprinting is a lie detection technique which uses electroencephalography eeg to determine whether specific information is stored in a subject s brain the technique consists of measuring and recording a person s electrical brainwaves and brain response when asked questions about a crime attempting to elicit a p300 response that indicates familiarity with the details of the crime the technique is controversial unproven and of questionable accuracy comparison of brain fingerprinting with polygraphy showed mixed results consistent with a mix of proven techniques and dangerously exaggerated benefits'}","N/A","{'label': 'addictive behavior', 'summary': 'an addictive behavior is a behavior or a stimulus related to a behavior e g sex or food that is both rewarding and reinforcing and is associated with the development of an addiction apart from the aforementioned addictive behaviors the most common one would be substance addiction including alcohol tobacco and cannabis addictions involving addictive behaviors are normally referred to as behavioral addictions compulsion vs addiction compulsions and addictions are intertwined and reward is one major distinction between an addiction and a compulsion as it is experienced in obsessive compulsive disorder'}","N/A","{'label': 'addiction', 'summary': 'addiction is a biopsychosocial disorder characterized by compulsive engagement in rewarding stimuli despite adverse consequences despite the involvement of a number of psychosocial factors a biological process—one that is induced by repeated exposure to an addictive stimulus—is the core pathology that drives the development and maintenance of an addiction according to the brain disease model of addiction however some scholars who study addiction argue that the brain disease model is incomplete and misleading the brain disease model posits that addiction is a disorder of the brain s reward system which arises through transcriptional and epigenetic mechanisms and develops over time from chronically high levels of exposure to an addictive stimulus e g eating food the use of cocaine engagement in sexual activity participation in high thrill cultural activities such as gambling etc deltafosb δfosb a gene transcription factor is a critical component and common factor in the development of virtually all forms of behavioral and drug addictions'}",4,5,0,False,True,True,True,True,True,True,True,N/A,0.7806960344314575,N/A,0.755294144153595,N/A,-7,N/A,-6,distant,pseudo_leaf,distant,pseudo_leaf,"{'label': 'addiction', 'summary': 'addiction is a biopsychosocial disorder characterized by compulsive engagement in rewarding stimuli despite adverse consequences despite the involvement of a number of psychosocial factors a biological process—one that is induced by repeated exposure to an addictive stimulus—is the core pathology that drives the development and maintenance of an addiction according to the brain disease model of addiction however some scholars who study addiction argue that the brain disease model is incomplete and misleading the brain disease model posits that addiction is a disorder of the brain s reward system which arises through transcriptional and epigenetic mechanisms and develops over time from chronically high levels of exposure to an addictive stimulus e g eating food the use of cocaine engagement in sexual activity participation in high thrill cultural activities such as gambling etc deltafosb δfosb a gene transcription factor is a critical component and common factor in the development of virtually all forms of behavioral and drug addictions'}","N/A"
"{'label': 'pervasive developmental disorder', 'summary': 'the diagnostic category pervasive developmental disorders pdd as opposed to specific developmental disorders sdd is a group of disorders characterized by delays in the development of multiple basic functions including socialization and communication the pervasive developmental disorders include autism asperger syndrome pervasive developmental disorder not otherwise specified pdd nos i e all autism spectrum disorders asd childhood disintegrative disorder cdd overactive disorder associated with mental retardation and stereotyped movements and rett syndrome the first four of these disorders are commonly called the autism spectrum disorders the last disorder is much rarer and is sometimes placed in the autism spectrum and sometimes not the terminology pdd and asd is often used interchangeably and varies depending on location the two have overlapping definitions but are defined differently by the diagnostic and statistical manual of mental disorders 5th edition dsm 5 and the international classification of diseases 10th edition icd 10'}","N/A","{'label': 'peripheral odontogenic fibroma', 'summary': 'the peripheral odontogenic fibroma is an uncommon gingival mass it affects people across a large age range it can be confused with the peripheral ossifying fibroma in contrast to the peripheral ossifying fibroma the peripheral odontogenic fibroma is a rare lesion'}","N/A","{'label': 'lesion', 'summary': 'a lesion is any damage or abnormal change in the tissue of an organism usually caused by disease or trauma lesion is derived from the latin laesio injury lesions may occur in plants as well as animals types there is no designated classification or naming convention for lesions'}",43,4,1,False,True,False,True,True,True,True,True,N/A,0.6213651895523071,N/A,0.2230190634727478,N/A,-5,N/A,-4,distant,pseudo_leaf,distant,pseudo_leaf,"{'label': 'pyogenic granuloma', 'summary': 'a pyogenic granuloma or lobular capillary hemangioma is a vascular tumor that occurs on both mucosa and skin and appears as an overgrowth of tissue due to irritation physical trauma or hormonal factors it is often found to involve the gums skin or nasal septum and has also been found far from the head such as in the thigh pyogenic granulomas may be seen at any age and are more common in females than males in pregnant women lesions may occur in the first trimester with an increasing incidence until the seventh month and are often seen on the gums signs and symptoms the appearance of pyogenic granuloma is usually a color ranging from red pink to purple grows rapidly and can be smooth or mushroom shaped'}","N/A"
"{'label': 'pervasive developmental disorder not otherwise specified', 'summary': 'a pervasive developmental disorder not otherwise specified including atypical autism pdd nos is one of the four autistic disorders ad in the dsm 5 and also was one of the five disorders classified as a pervasive developmental disorder pdd in the dsm iv according to the dsm 4 pdd nos is a diagnosis that is used for severe or pervasive impairment in the development of reciprocal social interaction and or verbal and nonverbal communication skills or when stereotyped behavior interests and or activities are present but the criteria are not met for a specific pdd or for several other disorders pdd nos includes atypical autism because the criteria for autistic disorder are not met for instance because of late age of onset atypical symptomatology or subthreshold symptomatology or all of these even though pdd nos is considered milder than typical autism this is not always true while some characteristics may be milder others may be more severe'}","N/A","{'label': 'adolescent psychopathology', 'summary': 'child psychopathology refers to the scientific study of mental disorders in children and adolescents oppositional defiant disorder attention deficit hyperactivity disorder and autism spectrum disorder are examples of psychopathology that are typically first diagnosed during childhood mental health providers who work with children and adolescents are informed by research in developmental psychology clinical child psychology and family systems lists of child and adult mental disorders can be found in the international statistical classification of diseases and related health problems 10th edition icd 10 published by the world health organization who and in the diagnostic and statistical manual of mental disorders fifth edition dsm 5 published by the american psychiatric association apa'}","N/A","{'label': 'adolescent psychopathology', 'summary': 'child psychopathology refers to the scientific study of mental disorders in children and adolescents oppositional defiant disorder attention deficit hyperactivity disorder and autism spectrum disorder are examples of psychopathology that are typically first diagnosed during childhood mental health providers who work with children and adolescents are informed by research in developmental psychology clinical child psychology and family systems lists of child and adult mental disorders can be found in the international statistical classification of diseases and related health problems 10th edition icd 10 published by the world health organization who and in the diagnostic and statistical manual of mental disorders fifth edition dsm 5 published by the american psychiatric association apa'}",6,5,0,False,True,False,True,True,True,True,True,N/A,1.0,N/A,1.0,N/A,-7,N/A,-7,distant,pseudo_leaf,distant,pseudo_leaf,"{'label': 'psychopathology', 'summary': 'psychopathology is the study of abnormal cognition behaviour and experiences which differs according to social norms and rests upon a number of constructs that are deemed to be the social norm at any particular era biological psychopathology is the study of the biological etiology of abnormal cognitions behaviour and experiences child psychopathology is a specialisation applied to children and adolescents animal psychopathology is a specialisation applied to non human animals'}","N/A"
"{'label': 'multiple complex developmental disorder', 'summary': 'multiple complex developmental disorder mcdd is a research category proposed to involve several neurological and psychological symptoms where at least some symptoms are first noticed during early childhood and persist throughout life it was originally suggested to be a subtype of autistic spectrum disorders pdd with co morbid schizophrenia or another psychotic disorder however there is some controversy that not everyone with mcdd meets criteria for both pdd and psychosis the term multiplex developmental disorder was coined by donald j cohen in 1986 diagnostic criteria the current diagnostic criteria for mcdd are a matter of debate due to it not being in the dsm v or icd 10'}","N/A","{'label': 'corpus callosum', 'summary': 'the corpus callosum latin for tough body also callosal commissure is a wide thick nerve tract consisting of a flat bundle of commissural fibers beneath the cerebral cortex in the brain the corpus callosum is only found in placental mammals it spans part of the longitudinal fissure connecting the left and right cerebral hemispheres enabling communication between them it is the largest white matter structure in the human brain about ten centimetres in length and consisting of 200–300 million axonal projections a number of separate nerve tracts classed as subregions of the corpus callosum connect different parts of the hemispheres'}","N/A","{'label': 'hippocampus', 'summary': 'the hippocampus via latin from greek ἱππόκαμπος seahorse is a major component of the brain of humans and other vertebrates humans and other mammals have two hippocampi one in each side of the brain the hippocampus is part of the limbic system and plays important roles in the consolidation of information from short term memory to long term memory and in spatial memory that enables navigation the hippocampus is located in the allocortex with neural projections into the neocortex in humans as well as primates'}",6,5,0,False,True,False,True,False,True,False,True,N/A,0.5260248184204102,N/A,0.4359261989593506,N/A,-5,N/A,-5,distant,pseudo_leaf,distant,pseudo_leaf,"{'label': 'olfactory tubercle', 'summary': 'the olfactory tubercle ot also known as the tuberculum olfactorium is a multi sensory processing center that is contained within the olfactory cortex and ventral striatum and plays a role in reward cognition the ot has also been shown to play a role in locomotor and attentional behaviors particularly in relation to social and sensory responsiveness and it may be necessary for behavioral flexibility the ot is interconnected with numerous brain regions especially the sensory arousal and reward centers thus making it a potentially critical interface between processing of sensory information and the subsequent behavioral responses the ot is a composite structure that receives direct input from the olfactory bulb and contains the morphological and histochemical characteristics of the ventral pallidum and the striatum of the forebrain the dopaminergic neurons of the mesolimbic pathway project onto the gabaergic medium spiny neurons of the nucleus accumbens and olfactory tubercle receptor d3 is abundant in these two areas'}","N/A"
"{'label': 'childhood disintegrative disorder', 'summary': 'childhood disintegrative disorder cdd also known as heller s syndrome and disintegrative psychosis is a rare condition characterized by late onset of developmental delays—or severe and sudden reversals—in language social function and motor skills researchers have not been successful in finding a cause for the disorder cdd has some similarity to autism and is sometimes considered a low functioning form of it in may 2013 cdd along with other sub types of pdd asperger s syndrome autism and pdd nos was fused into a single diagnostic term called autism spectrum disorder under the new dsm 5 manual cdd was originally described by austrian educator theodor heller 1869–1938 in 1908 35 years before leo kanner and hans asperger described autism'}","N/A","{'label': 'transactional memory', 'summary': 'in computer science and engineering transactional memory attempts to simplify concurrent programming by allowing a group of load and store instructions to execute in an atomic way it is a concurrency control mechanism analogous to database transactions for controlling access to shared memory in concurrent computing transactional memory systems provide high level abstraction as an alternative to low level thread synchronization this abstraction allows for coordination between concurrent reads and writes of shared data in parallel systems'}","N/A","{'label': 'transactional analysis', 'summary': 'transactional analysis ta is a psychoanalytic theory and method of therapy wherein social interactions or “transactions” are analyzed to determine the ego state of the communicator whether parent like childlike or adult like as a basis for understanding behavior in transactional analysis the communicator is taught to alter the ego state as a way to solve emotional problems the method deviates from freudian psychoanalysis which focuses on increasing awareness of the contents of subconsciously held ideas eric berne developed the concept and paradigm of transactional analysis in the late 1950s'}",6,5,0,True,True,False,True,True,True,True,True,N/A,0.47645825147628784,N/A,0.3574362099170685,N/A,-7,N/A,-6,distant,pseudo_leaf,distant,pseudo_leaf,"{'label': 'transactional memory', 'summary': 'in computer science and engineering transactional memory attempts to simplify concurrent programming by allowing a group of load and store instructions to execute in an atomic way it is a concurrency control mechanism analogous to database transactions for controlling access to shared memory in concurrent computing transactional memory systems provide high level abstraction as an alternative to low level thread synchronization this abstraction allows for coordination between concurrent reads and writes of shared data in parallel systems'}","N/A"
"{'label': 'motor skill', 'summary': 'a motor skill is a learned ability to cause a predetermined movement outcome with maximum certainty motor learning is the relatively permanent change in the ability to perform a skill as a result of practice or experience performance is an act of executing a motor skill the goal of motor skill is to optimize the ability to perform the skill at the rate of success precision and to reduce the energy consumption required for performance'}","N/A","{'label': 'epileptic seizure', 'summary': 'an epileptic seizure formally known as a seizure is a period of symptoms due to abnormally excessive or synchronous neuronal activity in the brain outward effects vary from uncontrolled shaking movements involving much of the body with loss of consciousness tonic clonic seizure to shaking movements involving only part of the body with variable levels of consciousness focal seizure to a subtle momentary loss of awareness absence seizure most of the time these episodes last less than two minutes and it takes some time to return to normal loss of bladder control may occur seizures may be provoked and unprovoked'}","N/A","{'label': 'issues for people with epilepsy', 'summary': 'epilepsy is a condition defined by unprovoked or reflex seizures often occurring without warning the condition impacts much of a patient s life including personal safety memory and views by others those who have active seizures live with the fact that they can have a seizure at any time those whose seizures are controlled by medication live with the underlying side effects and the need to remember to take the medication at the correct times'}",350,3,1,False,True,False,True,False,True,True,True,N/A,0.7567449808120728,N/A,0.7126237154006958,N/A,-4,N/A,-3,distant,pseudo_leaf,distant,pseudo_leaf,"{'label': 'electroencephalography', 'summary': 'electroencephalography eeg is an electrophysiological monitoring method to record electrical activity on the scalp that has been shown to represent the macroscopic activity of the surface layer of the brain underneath it is typically non invasive with the electrodes placed along the scalp electrocorticography involving invasive electrodes is sometimes called intracranial eeg eeg measures voltage fluctuations resulting from ionic current within the neurons of the brain clinically eeg refers to the recording of the brain s spontaneous electrical activity over a period of time as recorded from multiple electrodes placed on the scalp'}","N/A"
"{'label': 'challenge point framework', 'summary': 'the challenge point framework created by mark a guadagnoli and timothy d lee 2004 provides a theoretical basis to conceptualize the effects of various practice conditions in motor learning this framework relates practice variables to the skill level of the individual task difficulty and information theory concepts the fundamental idea is that “motor tasks represent different challenges for performers of different abilities guadagnoli and lee 2004 p212 any task will present the individual with a certain degree of challenge'}","N/A","{'label': 'capgras delusion', 'summary': 'capgras delusion is a psychiatric disorder in which a person holds a delusion that a friend spouse parent or other close family member or pet has been replaced by an identical impostor it is named after joseph capgras 1873–1950 a french psychiatrist the capgras delusion is classified as a delusional misidentification syndrome a class of delusional beliefs that involves the misidentification of people places or objects it can occur in acute transient or chronic forms'}","N/A","{'label': 'capgras delusion', 'summary': 'capgras delusion is a psychiatric disorder in which a person holds a delusion that a friend spouse parent or other close family member or pet has been replaced by an identical impostor it is named after joseph capgras 1873–1950 a french psychiatrist the capgras delusion is classified as a delusional misidentification syndrome a class of delusional beliefs that involves the misidentification of people places or objects it can occur in acute transient or chronic forms'}",5,4,0,False,True,False,True,False,True,False,True,N/A,0.5468380451202393,N/A,0.5468380451202393,N/A,-5,N/A,-5,distant,pseudo_leaf,distant,pseudo_leaf,"{'label': 'psychology', 'summary': 'psychology is the science of mind and behavior psychology includes the study of conscious and unconscious phenomena including feelings and thoughts it is an academic discipline of immense scope crossing the boundaries between the natural and social sciences psychologists seek an understanding of the emergent properties of brains linking the discipline to neuroscience'}","N/A"
"{'label': 'fine motor skill', 'summary': 'fine motor skill or dexterity is the coordination of small muscles in movement with the eyes usually involving the synchronisation of hands and fingers the complex levels of manual dexterity that humans exhibit can be attributed to and demonstrated in tasks controlled by the nervous system fine motor skills aid in the growth of intelligence and develop continuously throughout the stages of human development types of motor skills motor skills are movements and actions of the bone structures'}","N/A","{'label': 'open learning', 'summary': 'open learning is an innovative movement in education that emerged in the 1970s and evolved into fields of practice and study the term refers generally to activities that either enhance learning opportunities within formal education systems or broaden learning opportunities beyond formal education systems open learning involves but is not limited to classroom teaching methods approaches to interactive learning formats in work related education and training the cultures and ecologies of learning communities and the development and use of open educational resources while there is no agreed upon comprehensive definition of open learning central focus is commonly placed on the needs of the learner as perceived by the learner case studies illustrate open learning as an innovation both within and across academic disciplines professions social sectors and national boundaries and in business and industry higher education institutions collaborative initiatives between institutions and schooling for young learners'}","N/A","{'label': 'open educational practices', 'summary': 'open educational practices oep are part the broader open education landscape including the openness movement in general it is a term with multiple layers and dimensions and is often used interchangeably with open pedagogy or open practices oep represent teaching and learning techniques that draw upon open and participatory technologies and high quality open educational resources oer in order to facilitate collaborative and flexible learning because oep emerged from the study of oer there is a strong connection between the two concepts'}",5,4,0,False,True,False,True,False,True,False,True,N/A,0.6837154626846313,N/A,0.6088719964027405,N/A,-5,N/A,-6,distant,pseudo_leaf,distant,pseudo_leaf,"{'label': 'psychology', 'summary': 'psychology is the science of mind and behavior psychology includes the study of conscious and unconscious phenomena including feelings and thoughts it is an academic discipline of immense scope crossing the boundaries between the natural and social sciences psychologists seek an understanding of the emergent properties of brains linking the discipline to neuroscience'}","N/A"
