Bin Range,Count
-0.307 to -0.294,2
-0.294 to -0.281,6
-0.281 to -0.268,7
-0.268 to -0.254,28
-0.254 to -0.241,114
-0.241 to -0.228,337
-0.228 to -0.215,818
-0.215 to -0.202,2136
-0.202 to -0.189,4948
-0.189 to -0.176,11502
-0.176 to -0.163,25775
-0.163 to -0.150,54146
-0.150 to -0.137,108147
-0.137 to -0.124,205411
-0.124 to -0.111,367028
-0.111 to -0.098,619837
-0.098 to -0.085,989375
-0.085 to -0.071,1484374
-0.071 to -0.058,2102779
-0.058 to -0.045,2815243
-0.045 to -0.032,3557381
-0.032 to -0.019,4257233
-0.019 to -0.006,4830468
-0.006 to 0.007,5210986
0.007 to 0.020,5368402
0.020 to 0.033,5296593
0.033 to 0.046,5032507
0.046 to 0.059,4621191
0.059 to 0.072,4119831
0.072 to 0.085,3585562
0.085 to 0.098,3065582
0.098 to 0.111,2585184
0.111 to 0.125,2155790
0.125 to 0.138,1788807
0.138 to 0.151,1481492
0.151 to 0.164,1225633
0.164 to 0.177,1016058
0.177 to 0.190,842451
0.190 to 0.203,703980
0.203 to 0.216,587702
0.216 to 0.229,492528
0.229 to 0.242,414980
0.242 to 0.255,348487
0.255 to 0.268,294734
0.268 to 0.281,250497
0.281 to 0.294,212616
0.294 to 0.307,181237
0.307 to 0.321,154412
0.321 to 0.334,132013
0.334 to 0.347,112880
0.347 to 0.360,97546
0.360 to 0.373,83901
0.373 to 0.386,72101
0.386 to 0.399,61724
0.399 to 0.412,52733
0.412 to 0.425,45019
0.425 to 0.438,38553
0.438 to 0.451,32555
0.451 to 0.464,27527
0.464 to 0.477,23155
0.477 to 0.490,19210
0.490 to 0.503,15936
0.503 to 0.517,13457
0.517 to 0.530,11111
0.530 to 0.543,9247
0.543 to 0.556,7519
0.556 to 0.569,6375
0.569 to 0.582,5163
0.582 to 0.595,4001
0.595 to 0.608,3442
0.608 to 0.621,2629
0.621 to 0.634,2119
0.634 to 0.647,1705
0.647 to 0.660,1287
0.660 to 0.673,1048
0.673 to 0.686,836
0.686 to 0.699,611
0.699 to 0.713,518
0.713 to 0.726,385
0.726 to 0.739,269
0.739 to 0.752,207
0.752 to 0.765,174
0.765 to 0.778,151
0.778 to 0.791,109
0.791 to 0.804,87
0.804 to 0.817,83
0.817 to 0.830,52
0.830 to 0.843,45
0.843 to 0.856,22
0.856 to 0.869,36
0.869 to 0.882,27
0.882 to 0.895,14
0.895 to 0.909,13
0.909 to 0.922,12
0.922 to 0.935,9
0.935 to 0.948,6
0.948 to 0.961,10
0.961 to 0.974,4
0.974 to 0.987,2
0.987 to 1.000,25
