Bin Range,Count
-0.272 to -0.260,2
-0.260 to -0.247,4
-0.247 to -0.234,10
-0.234 to -0.222,19
-0.222 to -0.209,59
-0.209 to -0.196,179
-0.196 to -0.183,377
-0.183 to -0.171,865
-0.171 to -0.158,1953
-0.158 to -0.145,3929
-0.145 to -0.133,7927
-0.133 to -0.120,14810
-0.120 to -0.107,26559
-0.107 to -0.094,44325
-0.094 to -0.082,70962
-0.082 to -0.069,109711
-0.069 to -0.056,160800
-0.056 to -0.043,223023
-0.043 to -0.031,297559
-0.031 to -0.018,379281
-0.018 to -0.005,464389
-0.005 to 0.007,542868
0.007 to 0.020,613438
0.020 to 0.033,668690
0.033 to 0.046,703376
0.046 to 0.058,718813
0.058 to 0.071,711478
0.071 to 0.084,688218
0.084 to 0.097,652657
0.097 to 0.109,604233
0.109 to 0.122,551441
0.122 to 0.135,493320
0.135 to 0.147,438796
0.147 to 0.160,383456
0.160 to 0.173,334696
0.173 to 0.186,288116
0.186 to 0.198,246715
0.198 to 0.211,209363
0.211 to 0.224,177529
0.224 to 0.237,149854
0.237 to 0.249,125505
0.249 to 0.262,104316
0.262 to 0.275,86822
0.275 to 0.287,72326
0.287 to 0.300,59817
0.300 to 0.313,49234
0.313 to 0.326,40629
0.326 to 0.338,33614
0.338 to 0.351,27500
0.351 to 0.364,22581
0.364 to 0.376,18402
0.376 to 0.389,15339
0.389 to 0.402,12853
0.402 to 0.415,10552
0.415 to 0.427,8674
0.427 to 0.440,7201
0.440 to 0.453,5939
0.453 to 0.466,4830
0.466 to 0.478,4053
0.478 to 0.491,3530
0.491 to 0.504,2856
0.504 to 0.516,2420
0.516 to 0.529,2128
0.529 to 0.542,1708
0.542 to 0.555,1516
0.555 to 0.567,1235
0.567 to 0.580,1090
0.580 to 0.593,922
0.593 to 0.606,730
0.606 to 0.618,614
0.618 to 0.631,519
0.631 to 0.644,441
0.644 to 0.656,392
0.656 to 0.669,319
0.669 to 0.682,264
0.682 to 0.695,221
0.695 to 0.707,196
0.707 to 0.720,145
0.720 to 0.733,140
0.733 to 0.746,94
0.746 to 0.758,81
0.758 to 0.771,81
0.771 to 0.784,66
0.784 to 0.796,47
0.796 to 0.809,45
0.809 to 0.822,37
0.822 to 0.835,28
0.835 to 0.847,28
0.847 to 0.860,24
0.860 to 0.873,15
0.873 to 0.885,15
0.885 to 0.898,7
0.898 to 0.911,11
0.911 to 0.924,7
0.924 to 0.936,5
0.936 to 0.949,3
0.949 to 0.962,3
0.962 to 0.975,3
0.975 to 0.987,2
0.987 to 1.000,25
