sizeOfCloseNeighborhood, queryLevel, queryHeight, isCorrectParent, isCorrectChild, isCorrectParentPPR, isCorrectChildPPR, cos_sim_query_pred_child, cos_sim_query_pred_parent, cos_sim_query_pred_child_ppr, cos_sim_query_pred_parent_ppr, graph_distance_query_pred_child, graph_distance_query_pred_parent, graph_distance_query_pred_child_ppr, graph_distance_query_pred_parent_ppr
453, 3, 1, True, False, True, False, N/A, 0.7882198095321655, N/A, 0.7128852605819702, N/A, 5, N/A, 5
5, 4, 0, False, True, False, True, N/A, 0.7916511297225952, N/A, 0.7927525043487549, N/A, 5, N/A, 5
5, 4, 0, False, False, True, False, N/A, 0.7658987045288086, N/A, 0.7496622204780579, N/A, 6, N/A, 5
5, 4, 0, False, True, False, True, N/A, 0.7315999269485474, N/A, 0.7315999269485474, N/A, 4, N/A, 4
260, 4, 1, False, True, False, True, N/A, 0.7455565929412842, N/A, 0.7417455911636353, N/A, 5, N/A, 2
5, 5, 0, False, True, False, True, N/A, 0.7087165117263794, N/A, 0.714603066444397, N/A, 4, N/A, 4
5, 5, 0, False, True, False, True, N/A, 0.6625557541847229, N/A, 0.6625557541847229, N/A, 6, N/A, 6
616, 3, 1, True, False, True, False, N/A, 0.8368654251098633, N/A, 0.8290122747421265, N/A, 4, N/A, 4
3, 4, 0, False, False, False, False, N/A, 0.8388056755065918, N/A, 0.7703719139099121, N/A, 6, N/A, 6
112, 4, 2, False, False, False, False, N/A, 0.5674368143081665, N/A, 0.5674368143081665, N/A, 5, N/A, 5
17, 5, 1, False, True, False, True, N/A, 0.8401468992233276, N/A, 0.8401468992233276, N/A, 6, N/A, 6
15, 5, 0, False, True, False, True, N/A, 0.7501245737075806, N/A, 0.7639977335929871, N/A, 6, N/A, 6
15, 5, 0, False, True, False, True, N/A, 0.5961371660232544, N/A, 0.632107675075531, N/A, 6, N/A, 6
15, 5, 0, True, True, True, True, N/A, 0.6638632416725159, N/A, 0.6727917790412903, N/A, 6, N/A, 6
